premise,hypo,generated_hypo
<t> Many controllers work at the FAA's 22 Air Route Traffic Control Centers. </t> <g> ( <pointer:0> way :direction ( <pointer:1> out-06 :ARG2 ( <pointer:2> way ) ) :domain ( <pointer:3> it ) :mod ( <pointer:4> definite ) :mod ( <pointer:5> yeah ) )  </g> [EOS],Many controllers work in the control centers., Many controllers work at the FAA's 22 Air Route Traffic Control Centers. 
"<t> 'If it were not for the services they provide us, we older persons would not be able to get around to do our business, such as visits to doctors, grocery and drug stores. </t> <g> ( <pointer:0> need-01 :ARG0 ( <pointer:1> we ) :ARG1 ( <pointer:2> look-01 :ARG0 <pointer:1> :ARG1 ( <pointer:3> imply-01 :ARG0 ( <pointer:4> role :ARG1-of ( <pointer:5> differ-02 ) :mod ( <pointer:6> this ) ) :ARG1 ( <pointer:7> issue :quant ( <pointer:8> range ) :example ( <pointer:9> and :op1 ( <pointer:10> core :domain ( <pointer:11> competency :mod ( <pointer:12> organization :wiki - :name ( <pointer:13> name :op1 <lit> SES </lit> ) ) ) ) :op2 ( <pointer:14> standard-02 :ARG2 ( <pointer:15> perform-02 ) ) :op3 ( <pointer:16> source :mod ( <pointer:17> recruit-01 ) ) :op4 ( <pointer:18> mobility ) :op5 ( <pointer:19> program :mod ( <pointer:20> and :op1 ( <pointer:21> train-01 ) :op2 ( <pointer:22> develop-02 ) ) ) ) ) ) ) )  </g> [EOS]",Older people would have no transportation with out the service.," If it weren't for the services they provide us, we older persons would not be"
<t> The jagged heavy line in Figure 6.5 (page 100) depicts a typical inventory pattern for a replenishable product like our blue jeans in size 8. Note that the inventory level drops gradually as consumers purchase the item. </t> <g> ( <pointer:0> and :op2 ( <pointer:1> try-01 :frequency 2 :ARG0 ( <pointer:2> person :wiki - :name ( <pointer:3> name :op1 <lit> Son </lit> :op2 <lit> of </lit> :op3 <lit> the </lit> :op4 <lit> Egg </lit> ) :ARG0-of ( <pointer:4> attack-01 :ARG1 ( <pointer:5> he ) :location ( <pointer:6> hospital ) ) ) :ARG1 ( <pointer:7> reach-01 :ARG0 <pointer:2> :ARG1 ( <pointer:8> camp ) ) :time ( <pointer:9> already ) :manner ( <pointer:10> interpenetrate-01 :frequency 1 :ARG0 <pointer:2> :ARG1 ( <pointer:11> ship-01 :ARG1 ( <pointer:12> mandrake ) ) :ARG0-of ( <pointer:13> indicate-01 :ARG1 ( <pointer:14> resort-01 :ARG0 <pointer:2> :ARG1 ( <pointer:15> measure-02 :ARG0 <pointer:2> ) ) ) ) :mod ( <pointer:16> incidental :mod ( <pointer:17> just ) ) ) )  </g> [EOS],Figure 6.5 has a heavy and jagged line featured in it.," The blue jeans in size 8 are a replenishable product. , depicts"
<t> The optimal policy is one for which marginal increases or decreases in chosen inventory levels will not confer additional profits. </t> <g> ( <pointer:0> house-01 :ARG0 ( <pointer:1> building ) :ARG1 ( <pointer:2> program :quant 2 :ARG1-of ( <pointer:3> base-02 :ARG2 ( <pointer:4> volunteer-01 ) ) :ARG1-of ( <pointer:5> have-degree-91 :ARG2 ( <pointer:6> small ) :ARG3 ( <pointer:7> more ) ) :domain ( <pointer:8> and :op1 ( <pointer:9> organization :wiki - :name ( <pointer:10> name :op1 <lit> Multi-Cultural </lit> :op2 <lit> Law </lit> :op3 <lit> Center </lit> ) ) :op2 ( <pointer:11> organization :wiki - :name ( <pointer:12> name :op1 <lit> Senior </lit> :op2 <lit> Lawyer </lit> :op3 <lit> Volunteer </lit> :op4 <lit> Project </lit> ) ) ) ) :mod ( <pointer:13> also ) )  </g> [EOS],The best policy is one in which small changes in inventory levels will not affect profits., The optimal policy is one for which marginal increases or decreases in chosen inventory levels will not
"<t> Furthermore, the repression and isolation of women in many Muslim countries have not only seriously limited individual opportunity but also crippled overall economic productivity. </t> <g> ( <pointer:0> multi-sentence :snt1 ( <pointer:1> think-01 :mode imperative :ARG0 ( <pointer:2> you ) :ARG1 ( <pointer:3> it ) :ARG2 ( <pointer:4> this ) ) :snt2 ( <pointer:5> resemble-01 :ARG2 ( <pointer:6> become-01 :ARG1 ( <pointer:7> person :ARG0-of ( <pointer:8> have-org-role-91 :ARG1 ( <pointer:9> co-op ) :ARG2 ( <pointer:10> member :ARG1-of ( <pointer:11> typical-02 ) ) ) ) :ARG2 ( <pointer:12> and :op1 ( <pointer:13> have-degree-91 :ARG1 <pointer:7> :ARG2 ( <pointer:14> will-02 :ARG0 <pointer:7> :ARG1 ( <pointer:15> go-out-17 :ARG0 <pointer:7> ) ) :ARG3 ( <pointer:16> less ) ) :op2 ( <pointer:17> have-degree-91 :ARG1 <pointer:7> :ARG2 ( <pointer:18> anxious-01 :ARG0 <pointer:7> :ARG1 ( <pointer:19> accumulate-01 :ARG0 <pointer:7> :ARG1 ( <pointer:20> coupon :purpose ( <pointer:21> day :time-of ( <pointer:22> rain-01 ) ) ) ) ) :ARG3 ( <pointer:23> more ) ) ) :ARG1-of ( <pointer:24> cause-01 :ARG0 ( <pointer:25> reason :mod ( <pointer:26> some ) ) ) ) :time ( <pointer:27> decline-01 :ARG1 ( <pointer:28> confident-01 :ARG1 ( <pointer:29> person :ARG0-of ( <pointer:30> consume-01 ) ) ) ) ) )  </g> [EOS]",The stiffing of women's rights in Muslim nations cripple their economies.  , Women in Muslim countries are often isolated.  explains why economic productivity has declined
"<t> He appointed a new financial manager, whom his followers saw as miserly. </t> <g> ( <pointer:0> multi-sentence :snt1 ( <pointer:1> and :op1 ( <pointer:2> bury-01 :ARG0 ( <pointer:3> person :wiki - :name ( <pointer:4> name :op1 <lit> Ronald </lit> :op2 <lit> Jones </lit> ) ) :ARG1 ( <pointer:5> person :ARG0-of ( <pointer:6> have-rel-role-91 :ARG1 <pointer:3> :ARG2 ( <pointer:7> daughter ) ) ) :location ( <pointer:8> city :wiki <lit> Atlanta </lit> :name ( <pointer:9> name :op1 <lit> Atlanta </lit> ) ) ) :op2 ( <pointer:10> vacation-01 :ARG0 <pointer:3> :ARG1 ( <pointer:11> island :wiki <lit> Sea Island, Georgia </lit> :name ( <pointer:12> name :op1 <lit> Sea </lit> :op2 <lit> Island </lit> ) :location ( <pointer:13> state :wiki <lit> Georgia (U.S. state) </lit> :name ( <pointer:14> name :op1 <lit> Georgia </lit> ) ) ) :time ( <pointer:15> then ) ) ) :snt2 ( <pointer:16> speculate-01 :ARG0 ( <pointer:17> some ) :ARG1 ( <pointer:18> give-01 :ARG0 ( <pointer:19> absent-01 :mod ( <pointer:20> this ) ) :ARG1 ( <pointer:21> time :purpose ( <pointer:22> work-out-02 :ARG0 <pointer:26> :ARG1 ( <pointer:23> story :instrument-of ( <pointer:24> explain-01 :ARG0 <pointer:26> :ARG1 ( <pointer:25> innocent-01 :ARG1 <pointer:26> ) ) ) ) ) :ARG2 ( <pointer:26> person :wiki - :name ( <pointer:27> name :op1 <lit> Ronald </lit> :op2 <lit> Jones </lit> ) ) ) ) )  </g> [EOS]",The new financial manager was seen as being very stingy.," He appointed a new financial manager, whom his followers saw as miserly. "
"<t> They have already transformed channel relations in such industries as food and grocery, home-building products, personal computers, and office products. </t> <g> ( <pointer:0> travel-01 :ARG0 ( <pointer:1> road :location ( <pointer:2> along :op1 ( <pointer:3> coastline :direction ( <pointer:4> south ) ) ) ) :ARG1 ( <pointer:5> and :op1 ( <pointer:6> town :ARG1-of ( <pointer:7> busy-02 ) :mod ( <pointer:8> agriculture ) ) :op2 ( <pointer:9> village :mod ( <pointer:10> fish-01 ) ) :ARG1-of ( <pointer:11> touch-01 :polarity - :ARG0 ( <pointer:12> tourism ) ) ) )  </g> [EOS]",They transformed the relations in food and grocery industries.," Channel relations have been transformed. , when they've already changed it!"
<t> We have provided an invoice to facilitate your gift. </t> <g> ( <pointer:0> plan-01 :ARG0 ( <pointer:1> he ) :ARG1 ( <pointer:2> drive-01 :ARG0 <pointer:1> :destination ( <pointer:3> house ) :direction ( <pointer:4> up ) :ARG1-of ( <pointer:5> straight-04 ) ) )  </g> [EOS],We've given you an invoice to aid your gift. , We have provided an invoice to facilitate your gift. ...what he had
"<t> The most up-to-date versions of automatic-cutting equipment, including the GERBERcutter, are even more effective. </t> <g> ( <pointer:0> multi-sentence :snt1 ( <pointer:1> cause-01 :polarity - :ARG0 ( <pointer:2> that ) :ARG1 ( <pointer:3> get-04 :ARG0 ( <pointer:4> i ) :ARG1 ( <pointer:5> right-06 :ARG1 <pointer:4> ) ) :mod ( <pointer:6> well :mode expressive ) ) :snt2 ( <pointer:7> like-01 :ARG0 ( <pointer:8> you ) :ARG1 ( <pointer:9> mill :purpose ( <pointer:10> tread-01 ) :poss <pointer:8> ) :manner ( <pointer:11> amr-unknown ) ) )  </g> [EOS]",The GERBERcutter is an example of automatic-cutting equipment., The GERBERcutter is the most up to date version of automatic-cutting equipment
<t> It's such a handicap not to read. </t> <g> ( <pointer:0> know-01 :ARG0 ( <pointer:1> man :mod ( <pointer:2> this ) ) :manner ( <pointer:3> amr-unknown ) )  </g> [EOS],Not reading it would be a handicap., It's a handicap to not read.  (what do you think
