premise,hypo,generated_hypo
"<t> As a key part of its efforts, Defense created National Guard WMD Civil Support Teams to respond in the event of a WMD terrorist incident. </t> <g> ( <pointer:0> put-01 :ARG0 ( <pointer:1> person :ARG0-of ( <pointer:2> research-01 :ARG1 ( <pointer:3> disease :wiki <lit> HIV/AIDS </lit> :name ( <pointer:4> name :op1 <lit> HIV </lit> ) ) ) :quant ( <pointer:5> many ) ) :ARG1 ( <pointer:6> hope-01 :ARG0 <pointer:1> :ARG1 ( <pointer:7> combine-01 :ARG0 <pointer:1> :ARG1 ( <pointer:8> treat-03 :ARG2 ( <pointer:9> drug ) ) :ARG2 ( <pointer:10> strategy :ARG0-of ( <pointer:11> boost-01 :ARG1 ( <pointer:12> system :ARG0-of ( <pointer:13> immune-02 ) ) ) ) ) ) :ARG2 ( <pointer:14> here ) )  </g> [EOS]",Defense created the National Guard WMD Civil Support Teams to deal with a terrorism event on a mass scale., The National Guard was created to respond in case of a WMD terrorist incident. 
"<t> But some very clever comparative linguists, beginning in Germany in the 19th century, theorized about how the nature of the ancestors of the more modern tongues. </t> <g> ( <pointer:0> use-01 :ARG1 ( <pointer:1> monetary-quantity :quant 6 :unit ( <pointer:2> cent ) ) :ARG2 ( <pointer:3> invest-01 :mod ( <pointer:4> domestic ) ) )  </g> [EOS]",Comparative linguists started theorizing in the 19th century., Some linguists theorized about the nature of ancestors. ...when started
<t> Each narrative focused on a relatively exceptional personal experience. </t> <g> ( <pointer:0> obligate-01 :ARG1 ( <pointer:1> we ) :ARG2 ( <pointer:2> step-01 :ARG1 <pointer:1> :ARG2 ( <pointer:3> retain-01 :ARG0 <pointer:1> :ARG1 <pointer:8> ) ) :concession ( <pointer:4> after :op1 ( <pointer:5> hire-01 :ARG0 <pointer:1> :ARG1 ( <pointer:6> person :ARG1-of ( <pointer:7> good-02 ) ) ) :mod ( <pointer:8> even ) ) )  </g> [EOS],The narratives were each focused on a single experience., The narrative focused on a personal experience. ...and then the next one
"<t> Nobody used to snicker at Chaucer's line (No.5818) in The Prologe of the Wyf of Bathe , in which that harried dame: Why is my neghebores wif so gay? </t> <g> ( <pointer:0> have-concession-91 :ARG1 ( <pointer:1> possible-01 :ARG1 ( <pointer:2> and :op1 ( <pointer:3> reduce-01 :ARG0 <pointer:9> :ARG1 ( <pointer:4> cost-01 ) ) :op2 ( <pointer:5> allow-01 :ARG0 <pointer:9> :ARG1 ( <pointer:6> efficient-01 :ARG1-of ( <pointer:7> increase-01 ) ) ) ) ) :ARG2 ( <pointer:8> view-02 :ARG0 ( <pointer:9> person :ARG0-of ( <pointer:10> observe-01 ) :quant ( <pointer:11> many ) ) :ARG1 ( <pointer:12> this ) :ARG2 ( <pointer:13> step-01 :mod ( <pointer:14> extreme ) ) ) :ARG1-of ( <pointer:15> describe-01 :ARG0 ( <pointer:16> publication :wiki - :name ( <pointer:17> name :op1 <lit> Cohen </lit> ) :time ( <pointer:18> date-entity :year 1999 ) ) ) )  </g> [EOS]",Nobody laughed at Chaucer's line even though it was funny today.," Chaucer's line was not taken lightly. , no one used to"
<t> Children are back in their classrooms enjoying the fun of renewing friendships and activities interrupted by summer vacation. </t> <g> ( <pointer:0> way :mod ( <pointer:1> only ) :manner-of ( <pointer:2> do-02 :ARG1 ( <pointer:3> it ) ) :domain ( <pointer:4> that ) )  </g> [EOS],"After summer vacation, children are back in their classrooms having fun.", Summer vacation has ended.  Children are back in their classrooms enjoying the fun of
<t> The word might also have been used for a receptacle near the guns where powder and balls were kept. </t> <g> ( <pointer:0> have-concession-91 :ARG1 ( <pointer:1> important-01 :ARG1 ( <pointer:2> ensure-01 :ARG1 ( <pointer:3> follow-up-03 :mod ( <pointer:4> adequate ) :purpose ( <pointer:5> obtain-01 :ARG1 ( <pointer:6> information ) :ARG2 ( <pointer:7> report-01 :ARG0 ( <pointer:8> patient ) :ARG1 <pointer:8> ) ) ) ) :ARG1-of ( <pointer:9> cause-01 :ARG0 ( <pointer:10> report-01 :polarity - :ARG0 ( <pointer:11> person :quant ( <pointer:12> many ) ) :ARG1 ( <pointer:13> event :ARG1-of ( <pointer:14> relate-01 :ARG2 ( <pointer:15> alcohol ) ) ) :ARG2 ( <pointer:16> company :ARG0-of ( <pointer:17> insure-02 ) ) ) ) ) :ARG2 ( <pointer:18> provide-01 :ARG0 ( <pointer:19> data :mod ( <pointer:20> claim-01 ) ) :ARG1 ( <pointer:21> information :topic ( <pointer:22> use-01 :ARG1 ( <pointer:23> care-03 :ARG1 ( <pointer:24> health ) ) ) :ARG1-of ( <pointer:25> have-degree-91 :ARG2 ( <pointer:26> accurate ) :ARG3 ( <pointer:27> most ) ) ) ) )  </g> [EOS],The word may have meant a number of things. , The word could have been used for a receptacle near the guns. 
"<t> And, instead of providing an open-ended guarantee on prices to its distributors, the company would guarantee the price for only two weeks after purchase by the distributor, refusing to take back computers unless they malfunctioned. </t> <g> ( <pointer:0> multi-sentence :snt1 ( <pointer:1> contrast-01 :ARG1 ( <pointer:2> possible-01 :polarity - :ARG1 ( <pointer:3> last-04 :ARG1 ( <pointer:4> it ) :ARG2 ( <pointer:5> temporal-quantity :quant 7 :unit ( <pointer:6> year ) ) ) ) :ARG2 ( <pointer:7> possible-01 :ARG1 ( <pointer:8> last-04 :ARG1 <pointer:4> :ARG2 ( <pointer:9> temporal-quantity :quant 5 :unit ( <pointer:10> year ) ) ) ) ) :snt2 ( <pointer:11> and :op1 ( <pointer:12> say-01 :ARG0 ( <pointer:13> company :wiki <lit> IBM </lit> :name ( <pointer:14> name :op1 <lit> IBM </lit> ) ) :ARG1 ( <pointer:15> throw-away-07 :mode imperative :ARG0 ( <pointer:16> we ) :ARG1 ( <pointer:17> it ) ) ) :op2 ( <pointer:18> say-01 :ARG0 ( <pointer:19> company :wiki - :name ( <pointer:20> name :op1 <lit> Leading </lit> :op2 <lit> Edge </lit> ) ) :ARG1 ( <pointer:21> buy-01 :ARG0 <pointer:19> :ARG1 <pointer:17> :ARG2 ( <pointer:22> you ) ) ) ) )  </g> [EOS]","Instead of providing open-ended guarantees, the company guarantees the price for only 2 weeks after purchase.", The company would guarantee the price for only two weeks after purchase by its distributors. 
"<t> He also made use of the already-established Third World Relief Agency (TWRA) headquartered in Vienna, whose branch office locations included Zagreb and Budapest. </t> <g> ( <pointer:0> town :location ( <pointer:1> country-region :wiki <lit> Nabatiya </lit> :name ( <pointer:2> name :op1 <lit> Nabatean </lit> ) ) :location-of ( <pointer:3> trade-01 ) :location ( <pointer:4> route :source ( <pointer:5> country-region :wiki <lit> Gaza Strip </lit> :name ( <pointer:6> name :op1 <lit> Gaza </lit> ) ) :destination ( <pointer:7> city :wiki <lit> Petra </lit> :name ( <pointer:8> name :op1 <lit> Petra </lit> ) ) ) )  </g> [EOS]",The Third World Relief Agency had a branch office in Zagreb.  ," The TWRA had branch offices in Vienna.  When he was there,"
"<t> And uh, somewhere in the middle of VA. </t> <g> ( <pointer:0> take-10 :ARG1 ( <pointer:1> temporal-quantity :quant 400 :unit ( <pointer:2> year ) :duration-of ( <pointer:3> and :op1 ( <pointer:4> besiege-01 ) :op2 ( <pointer:5> battle-01 ) :op3 ( <pointer:6> treaty ) :op4 ( <pointer:7> betray-01 ) :op5 ( <pointer:8> battle-01 :mod ( <pointer:9> more :mod ( <pointer:10> yet ) ) ) ) ) :time ( <pointer:11> after :op1 ( <pointer:12> recover-02 :ARG1 ( <pointer:13> city :wiki <lit> Jerusalem </lit> :name ( <pointer:14> name :op1 <lit> Jerusalem </lit> ) ) :time ( <pointer:15> date-entity :year 1099 ) ) ) :time ( <pointer:16> before :op1 ( <pointer:17> succeed-01 :ARG0 ( <pointer:18> and :op1 ( <pointer:19> person :ARG0-of ( <pointer:20> have-org-role-91 :ARG1 ( <pointer:21> religious-group :wiki <lit> Christian </lit> :name ( <pointer:22> name :op1 <lit> Christian </lit> ) ) :ARG2 ( <pointer:23> king ) ) ) :op2 ( <pointer:24> person :ARG0-of ( <pointer:25> have-org-role-91 :ARG1 <pointer:21> :ARG2 ( <pointer:26> warlord ) ) ) ) :ARG1 ( <pointer:27> suppress-01 :ARG0 <pointer:18> :ARG1 ( <pointer:28> person :mod ( <pointer:29> religious-group :wiki <lit> Muslim </lit> :name ( <pointer:30> name :op1 <lit> Muslim </lit> ) ) ) ) ) ) )  </g> [EOS]",Somewhere in the middle of Virginia.," In the middle of VA. , somewhere in between 400 and 1000 years"
"<t> Furthermore, both language progress and an array of emergent-literacy skills can be predicted by the sheer amount of verbal interaction in the home during the first few years of life'a relationship that holds for children of all socioeconomic levels. </t> <g> ( <pointer:0> say-01 :ARG1 ( <pointer:1> stay-01 :ARG1 ( <pointer:2> we ) :location ( <pointer:3> inn ) ) )  </g> [EOS]",Language progress and literacy skills can be predicted., Language progress can be predicted by the sheer amount of verbal interaction in a child's first
