premise,hypo,generated_hypo
 We serve a classic Tuscan meal that includes a Florentine terrine made with dick and chicken livers. [EOS],We serve a meal of Florentine terrine.,The Florentine terrine is served with dick and chicken livers. 
"I was on this earth you know, I've lived on this earth for some reason, I just don't know what it is yet. [EOS]",I don't yet know the reason why I have lived on earth. ,"I've lived on this earth for some reason, I don't know what it is"
"for `family hold back,' an exhortation ensuring ample provender for guests. [EOS]","'family hold back,' an emphatic command to guarantee enough food for visitors.",There should be ample food for guests.  and admonishment to keep family back
"The other name, native well is, as a later explorer David Carnegie, author of Spinifex and Sand (1898), points out, a misnomer. [EOS]","The alternative name, resulting from a translation, was a misnomer according to the explorer David Carnegie.",David Carnegie is the author of Spinifex and Sand. I'm not
"If a hijack was confirmed, procedures called for the hijack coordinator on duty to contact the Pentagon's National Military Command Center (NMCC) and to ask for a military escort aircraft to follow the flight, report anything unusual, and aid search and rescue in the event of an emergency. [EOS]",Once a hijacking is confirmed the Pentagon's National Military Command Center (NMCC) is supposed to be notified so they can order a military escort aircraft to follow the flight and report on anything suspicious.,The hijack coordinator on duty should contact the Pentagon's National Military Command Center. 
The simplest is for one or more of the members to simply donate one million dollars to the IGGS Scholarship Fund. [EOS],The simplest is for one million dollars to be donated by one of the members to the IGGS Scholarship Fund. ,One million dollars can be donated to the IGGS Scholarship Fund. Ob
"Regardless of where Quick Response has succeeded, however, our research indicates that very different time-based competitive demands have emerged in the industry, driven not by voluntary acceptance of policies but by the changing nature of market competition among retailers. [EOS]",Market competition has caused new competitive demands.,Our research shows that very different time-based competitive demands have emerged in the industry.
"In this period, a number of key technological changes  sewing machines that made many more stitches a minute, long knives instead of shears for cutting, and pressing machines. [EOS]","In this period, various key innovative changes, sewing machines that made numerous more lines a moment, long blades rather than shears for cutting, and squeezing machines.",There were a number of technological changes that occurred during this period. Icing
Carnegie also describes namma-holes and soaks as sources of water. [EOS],Gnamma-holes and soaks were described by Carnegie.,"Namma-holes and soaks are sources of water, according to Carnegie."
 From Home Work to Modern Manufacture [EOS],Modern manufacturing has changed over time.,From home work to modern manufacturing.  and practical examples of this in action?
"Here, the object of play is the written form of the answer, or, more precisely, the letters of which that form consists. [EOS]",In this situation the object is in the written form. ,The answer is written in letters.  and played here to see what happens with
"When we consider how much the set is on during school holidays and summer vacations, children spend more time watching TV than they do in any other waking activity, including going to school and interacting with family members or peers. [EOS]",TV is king when it comes to how children spend their time. ,Children spend more time watching TV than they do in any other waking activity. 
